input,target
action: turn direction: right distance: 28 steps landmark: Lego Store,"In 28 steps, turn right towards Lego Store."
action: turn direction: right distance: 32 steps landmark: Starbucks,"In 32 steps, turn right towards Starbucks."
action: turn direction: right distance: 33 steps landmark: bookstore,"In 33 steps, turn right towards the bookstore."
action: turn direction: right distance: 34 steps landmark: toy store,"In 34 steps, turn right towards the toy store."
action: turn direction: right distance: 36 steps landmark: jewelry store,"In 36 steps, turn right towards the jewelry store."
action: turn direction: right distance: 40 steps landmark: department store,"In 40 steps, turn right towards the department store."
action: turn direction: right distance: 45 steps landmark: exit,"In 45 steps, turn right towards the exit."
action: turn direction: right distance: 23 steps landmark: bank,"In 23 steps, turn right towards the bank."
action: turn direction: right distance: 27 steps landmark: restroom,"In 27 steps, turn right towards the restroom."
action: turn direction: right distance: 29 steps landmark: clinic,"In 29 steps, turn right towards the clinic."
action: turn direction: right distance: 31 steps landmark: Adidas,"In 31 steps, turn right towards Adidas."
action: turn direction: right distance: 37 steps landmark: IKEA,"In 37 steps, turn right towards IKEA."
action: turn direction: right distance: 38 steps landmark: Gap,"In 38 steps, turn right towards Gap."
action: turn direction: right distance: 39 steps landmark: Lush,"In 39 steps, turn right towards Lush."
action: turn direction: right distance: 41 steps landmark: GameStop,"In 41 steps, turn right towards GameStop."
action: turn direction: right distance: 42 steps landmark: Disney Store,"In 42 steps, turn right towards Disney Store."
action: turn direction: right distance: 43 steps landmark: Foot Locker,"In 43 steps, turn right towards Foot Locker."
action: turn direction: right distance: 44 steps landmark: elevator,"In 44 steps, turn right towards the elevator."
action: turn direction: right distance: 46 steps landmark: escalator,"In 46 steps, turn right towards the escalator."
action: turn direction: right distance: 47 steps landmark: stairs,"In 47 steps, turn right towards the stairs."
action: turn direction: right distance: 48 steps landmark: washroom,"In 48 steps, turn right towards the washroom."
action: turn direction: right distance: 49 steps landmark: pharmacy,"In 49 steps, turn right towards the pharmacy."
action: turn direction: right distance: 51 steps landmark: Zara,"In 51 steps, turn right towards Zara."
action: turn direction: right distance: 52 steps landmark: H&M,"In 52 steps, turn right towards H&M."
action: turn direction: right distance: 53 steps landmark: Apple Store,"In 53 steps, turn right towards Apple Store."
action: turn direction: right distance: 54 steps landmark: Sephora,"In 54 steps, turn right towards Sephora."
action: turn direction: right distance: 55 steps landmark: Nike,"In 55 steps, turn right towards Nike."
action: continue distance: 25 steps,Walk straight for 25 steps.
action: turn direction: left distance: 10 steps,"In 10 steps, turn left."
action: stop landmark: accessible restroom,Stop. You have reached the accessible restroom.
action: continue distance: 40 steps,Continue forward for 40 steps.
action: turn direction: right distance: 15 steps,"In 15 steps, turn right."
action: continue distance: 30 steps landmark: washroom,Continue straight for 30 steps to the washroom.
action: stop landmark: restroom,Stop here. You have arrived at the restroom.
action: turn direction: left distance: 5 steps,"In 5 steps, turn left."
action: continue distance: 12 steps,Walk straight for 12 steps.
action: stop landmark: accessible restroom,You have arrived at the accessible restroom.
action: continue distance: 50 steps,Take 50 steps forward.
action: turn direction: right distance: 20 steps,"In 20 steps, turn right."
action: continue distance: 18 steps landmark: accessible restroom,Continue for 18 steps to reach the accessible restroom.
action: turn direction: left distance: 8 steps,"In 8 steps, turn left."
action: continue distance: 35 steps,Walk forward for 35 steps.
action: stop landmark: washroom,Stop. The washroom is directly in front of you.
action: turn direction: right distance: 12 steps,"In 12 steps, turn right."
action: continue distance: 22 steps,Continue straight for 22 steps.
action: stop landmark: accessible restroom,You have reached the accessible restroom.
action: turn direction: left distance: 30 steps,"In 30 steps, turn left."
action: continue distance: 10 steps landmark: restroom,Walk 10 steps forward to the restroom.
action: turn direction: right distance: 6 steps,"In 6 steps, turn right."
action: continue distance: 45 steps,Walk straight for 45 steps.
action: stop landmark: washroom,Arrived at the washroom.
action: continue distance: 7 steps,Take 7 steps forward.
action: turn direction: left distance: 25 steps,"In 25 steps, turn left."
action: stop landmark: accessible restroom,Stop. The accessible restroom is on your left.
action: continue distance: 55 steps,Walk forward for 55 steps.
action: turn direction: right distance: 9 steps,"In 9 steps, turn right."
action: continue distance: 14 steps landmark: washroom,Continue 14 steps to reach the washroom.
action: stop landmark: accessible restroom,Stop. You are at the entrance to the accessible restroom.
action: turn direction: left distance: 18 steps,"In 18 steps, turn left."
action: continue distance: 42 steps,Walk straight for 42 steps.
action: stop landmark: restroom,You have arrived at the restroom.
action: turn direction: right distance: 4 steps,"In 4 steps, turn right."
action: continue distance: 28 steps,Continue forward for 28 steps.
action: turn direction: left distance: 22 steps,"In 22 steps, turn left."
action: stop landmark: accessible restroom,Stop. You have reached the accessible restroom.
action: continue distance: 15 steps,Walk straight for 15 steps.
action: turn direction: right distance: 33 steps,"In 33 steps, turn right."
action: stop landmark: washroom,You have reached the washroom.
action: continue distance: 6 steps,Take 6 steps forward.
action: turn direction: left distance: 40 steps,"In 40 steps, turn left."
action: stop landmark: accessible restroom,Arrived at the accessible restroom.
action: continue distance: 50 steps landmark: restroom,Continue straight for 50 steps to reach the restroom.
action: turn direction: right distance: 11 steps,"In 11 steps, turn right."
action: continue distance: 19 steps,Walk forward for 19 steps.
action: stop landmark: washroom,Stop. You are at the washroom.
action: turn direction: left distance: 13 steps,"In 13 steps, turn left."
action: continue distance: 3 steps landmark: accessible restroom,Walk 3 steps forward to the accessible restroom.
action: continue direction: straight distance: 5 steps landmark: mall management office,Walk straight for 5 steps to the mall management office.
action: continue direction: straight distance: 6 steps landmark: mall management office,Go straight for 6 steps to the mall management office.
action: continue direction: straight distance: 7 steps landmark: mall management office,Continue straight for 7 steps to reach the mall management office.
action: continue direction: straight distance: 8 steps landmark: mall management office,Walk forward 8 steps. The mall management office is directly ahead.
action: continue direction: straight distance: 9 steps landmark: mall management office,Proceed straight for 9 steps to the mall management office.
action: continue direction: straight distance: 10 steps landmark: mall management office,Move forward 10 steps to reach the mall management office.
action: continue direction: straight distance: 11 steps landmark: mall management office,Walk 11 steps straight to the mall management office.
action: continue direction: straight distance: 12 steps landmark: mall management office,Go forward 12 steps. The mall management office is in front of you.
action: continue direction: straight distance: 13 steps landmark: mall management office,Continue straight for 13 steps until you reach the mall management office.
action: continue direction: straight distance: 14 steps landmark: mall management office,Walk straight for 14 steps to the mall management office.
action: continue direction: straight distance: 15 steps landmark: mall management office,Go straight for 15 steps. The mall management office is ahead.
action: continue direction: straight distance: 16 steps landmark: mall management office,Proceed straight for 16 steps to reach the mall management office.
action: continue direction: straight distance: 17 steps landmark: mall management office,Walk forward for 17 steps to the mall management office.
action: continue direction: straight distance: 18 steps landmark: mall management office,Move straight for 18 steps. You are approaching the mall management office.
action: continue direction: straight distance: 19 steps landmark: mall management office,Walk 19 steps forward to reach the mall management office.
action: continue direction: straight distance: 20 steps landmark: mall management office,Continue straight for 20 steps. The mall management office is directly in front of you.
action: continue direction: straight distance: 21 steps landmark: mall management office,Go straight for 21 steps to reach the mall management office.
action: continue direction: straight distance: 22 steps landmark: mall management office,Walk straight for 22 steps to the mall management office.
action: continue direction: straight distance: 23 steps landmark: mall management office,Proceed forward for 23 steps to the mall management office.
action: continue direction: straight distance: 24 steps landmark: mall management office,Walk 24 steps straight. The mall management office is ahead.
action: continue direction: straight distance: 25 steps landmark: mall management office,Go forward 25 steps to reach the mall management office.
action: continue direction: straight distance: 5 steps landmark: mall management office,Go ahead 5 steps to the mall management office.
action: continue direction: straight distance: 6 steps landmark: mall management office,Walk forward 6 steps to the mall management office.
action: continue direction: straight distance: 7 steps landmark: mall management office,Move straight 7 steps to reach the mall management office.
action: continue direction: straight distance: 8 steps landmark: mall management office,Step forward 8 times to the mall management office.
action: continue direction: straight distance: 9 steps landmark: mall management office,Walk straight for 9 steps. The mall management office is here.
action: continue direction: straight distance: 10 steps landmark: mall management office,Continue straight 10 steps to the mall management office.
action: continue direction: straight distance: 11 steps landmark: mall management office,Proceed forward 11 steps to the mall management office.
action: continue direction: straight distance: 12 steps landmark: mall management office,Go straight 12 steps. The mall management office is in front of you.
action: continue direction: straight distance: 13 steps landmark: mall management office,Walk 13 steps forward to the mall management office.
action: continue direction: straight distance: 14 steps landmark: mall management office,Move forward for 14 steps to reach the mall management office.
action: continue direction: straight distance: 15 steps landmark: mall management office,Walk straight 15 steps to the mall management office.
action: continue direction: straight distance: 16 steps landmark: mall management office,Go ahead 16 steps to the mall management office.
action: continue direction: straight distance: 17 steps landmark: mall management office,Continue forward for 17 steps to the mall management office.
action: continue direction: straight distance: 18 steps landmark: mall management office,Walk straight 18 steps. Reach the mall management office ahead.
action: continue direction: straight distance: 19 steps landmark: mall management office,Go straight 19 steps to the mall management office.
action: continue direction: straight distance: 20 steps landmark: mall management office,Proceed straight 20 steps to reach the mall management office.
action: continue direction: straight distance: 21 steps landmark: mall management office,Move forward 21 steps to the mall management office.
action: continue direction: straight distance: 22 steps landmark: mall management office,Walk forward 22 steps. The mall management office is in front of you.
action: continue direction: straight distance: 23 steps landmark: mall management office,Go straight for 23 steps. The mall management office is ahead.
action: stop landmark: mall management office,Stop here. You have reached the mall management office.
